,data,Tipo,Qtd,Total_Dia,Porcentagem
0,2026-01-01T00:00:00.000,BITRUCK,7,13,0.5384615384615384
1,2026-01-02T00:00:00.000,BITRUCK,7,13,0.5384615384615384
2,2026-01-03T00:00:00.000,BITRUCK,8,16,0.5
3,2026-01-04T00:00:00.000,BITRUCK,8,17,0.47058823529411764
4,2026-01-05T00:00:00.000,BITRUCK,9,15,0.6
5,2026-01-06T00:00:00.000,BITRUCK,13,22,0.5909090909090909
6,2026-01-07T00:00:00.000,BITRUCK,13,25,0.52
7,2026-01-08T00:00:00.000,BITRUCK,12,18,0.6666666666666666
8,2026-01-09T00:00:00.000,BITRUCK,8,14,0.5714285714285714
9,2026-01-10T00:00:00.000,BITRUCK,4,14,0.2857142857142857
10,2026-01-11T00:00:00.000,BITRUCK,6,18,0.3333333333333333
11,2026-01-12T00:00:00.000,BITRUCK,7,12,0.5833333333333334
12,2026-01-13T00:00:00.000,BITRUCK,3,3,1
13,2026-01-14T00:00:00.000,BITRUCK,2,3,0.6666666666666666
14,2026-01-15T00:00:00.000,BITRUCK,5,6,0.8333333333333334
15,2026-01-16T00:00:00.000,BITRUCK,9,11,0.8181818181818182
16,2026-01-17T00:00:00.000,BITRUCK,4,6,0.6666666666666666
17,2026-01-18T00:00:00.000,BITRUCK,3,5,0.6
18,2026-01-19T00:00:00.000,BITRUCK,6,17,0.35294117647058826
19,2026-01-20T00:00:00.000,BITRUCK,9,21,0.42857142857142855
20,2026-01-21T00:00:00.000,BITRUCK,11,17,0.6470588235294118
21,2026-01-22T00:00:00.000,BITRUCK,9,19,0.47368421052631576
22,2026-01-23T00:00:00.000,BITRUCK,6,14,0.42857142857142855
23,2026-01-24T00:00:00.000,BITRUCK,2,3,0.6666666666666666
24,2026-01-25T00:00:00.000,BITRUCK,1,1,1
25,2026-01-26T00:00:00.000,BITRUCK,8,17,0.47058823529411764
26,2026-01-27T00:00:00.000,BITRUCK,11,20,0.55
27,2026-01-28T00:00:00.000,BITRUCK,6,13,0.46153846153846156
28,2026-01-29T00:00:00.000,BITRUCK,13,21,0.6190476190476191
29,2026-01-30T00:00:00.000,BITRUCK,10,21,0.47619047619047616
30,2026-01-31T00:00:00.000,BITRUCK,2,10,0.2
31,2026-01-01T00:00:00.000,CARRETA,4,13,0.3076923076923077
32,2026-01-02T00:00:00.000,CARRETA,4,13,0.3076923076923077
33,2026-01-03T00:00:00.000,CARRETA,6,16,0.375
34,2026-01-04T00:00:00.000,CARRETA,7,17,0.4117647058823529
35,2026-01-05T00:00:00.000,CARRETA,4,15,0.26666666666666666
36,2026-01-06T00:00:00.000,CARRETA,7,22,0.3181818181818182
37,2026-01-07T00:00:00.000,CARRETA,10,25,0.4
38,2026-01-08T00:00:00.000,CARRETA,4,18,0.2222222222222222
39,2026-01-09T00:00:00.000,CARRETA,6,14,0.42857142857142855
40,2026-01-10T00:00:00.000,CARRETA,10,14,0.7142857142857143
